Time (s)	Extension	Load
  0.0000	0.000E+0	48.320E-3
  1.0000	0.000E+0	48.320E-3
  2.0000	-60.000E-3	42.950E-3
  3.0000	-130.000E-3	37.580E-3
  4.0000	-190.000E-3	24.160E-3
  5.0000	-260.000E-3	16.100E-3
  6.0000	-330.000E-3	18.790E-3
  7.0000	-390.000E-3	13.420E-3
  8.0000	-460.000E-3	16.100E-3
  9.0000	-530.000E-3	16.100E-3
 10.0000	-590.000E-3	16.100E-3
 11.0000	-660.000E-3	16.100E-3
 12.0000	-730.000E-3	16.100E-3
 13.0000	-790.000E-3	16.100E-3
 14.0000	-860.000E-3	16.100E-3
 15.0000	-930.000E-3	13.420E-3
 16.0000	-990.000E-3	16.100E-3
 17.0000	-1.060E+0	16.100E-3
 18.0000	-1.130E+0	16.100E-3
 19.0000	-1.190E+0	16.100E-3
 20.0000	-1.260E+0	16.100E-3
 21.0000	-1.320E+0	16.100E-3
 22.0000	-1.390E+0	13.420E-3
 23.0000	-1.460E+0	16.100E-3
 24.0000	-1.530E+0	13.420E-3
 25.0000	-1.590E+0	16.100E-3
 26.0000	-1.660E+0	16.100E-3
 27.0000	-1.730E+0	13.420E-3
 28.0000	-1.790E+0	13.420E-3
 29.0000	-1.860E+0	16.100E-3
 30.0000	-1.930E+0	13.420E-3
 31.0000	-1.990E+0	13.420E-3
 32.0000	-2.060E+0	13.420E-3
 33.0000	-2.130E+0	13.420E-3
 34.0000	-2.190E+0	13.420E-3
 35.0000	-2.260E+0	13.420E-3
 36.0000	-2.330E+0	13.420E-3
 37.0000	-2.390E+0	13.420E-3
 38.0000	-2.460E+0	13.420E-3
 39.0000	-2.530E+0	13.420E-3
 40.0000	-2.590E+0	13.420E-3
 41.0000	-2.660E+0	13.420E-3
 42.0000	-2.730E+0	13.420E-3
 43.0000	-2.790E+0	13.420E-3
 44.0000	-2.860E+0	13.420E-3
 45.0000	-2.930E+0	13.420E-3
 46.0000	-2.990E+0	13.420E-3
 47.0000	-3.060E+0	13.420E-3
 48.0000	-3.120E+0	13.420E-3
 49.0000	-3.190E+0	13.420E-3
 50.0000	-3.260E+0	13.420E-3
 51.0000	-3.330E+0	16.100E-3
 52.0000	-3.390E+0	13.420E-3
 53.0000	-3.460E+0	13.420E-3
 54.0000	-3.520E+0	13.420E-3
 55.0000	-3.590E+0	13.420E-3
 56.0000	-3.660E+0	13.420E-3
 57.0000	-3.730E+0	13.420E-3
 58.0000	-3.790E+0	13.420E-3
 59.0000	-3.860E+0	13.420E-3
 60.0000	-3.930E+0	13.420E-3
 61.0000	-3.990E+0	13.420E-3
 62.0000	-4.060E+0	13.420E-3
 63.0000	-4.130E+0	13.420E-3
 64.0000	-4.190E+0	13.420E-3
 65.0000	-4.260E+0	13.420E-3
 66.0000	-4.330E+0	13.420E-3
 67.0000	-4.390E+0	13.420E-3
 68.0000	-4.460E+0	13.420E-3
 69.0000	-4.530E+0	13.420E-3
 70.0000	-4.590E+0	13.420E-3
 71.0000	-4.660E+0	13.420E-3
 72.0000	-4.730E+0	13.420E-3
 73.0000	-4.790E+0	13.420E-3
 74.0000	-4.860E+0	-8.060E-3
 75.0000	-4.920E+0	-102.000E-3
 76.0000	-4.990E+0	-206.700E-3
 77.0000	-5.060E+0	-413.400E-3
 78.0000	-5.120E+0	-660.400E-3
 79.0000	-5.190E+0	-966.400E-3
 80.0000	-5.260E+0	-1.315E+0
 81.0000	-5.320E+0	-1.689E+0
 82.0000	-5.390E+0	-2.145E+0
 83.0000	-5.460E+0	-2.693E+0
 84.0000	-5.520E+0	-3.289E+0
 85.0000	-5.590E+0	-3.898E+0
 86.0000	-5.660E+0	-4.523E+0
 87.0000	-5.730E+0	-5.205E+0
 88.0000	-5.790E+0	-5.823E+0
 89.0000	-5.860E+0	-6.454E+0
 90.0000	-5.920E+0	-7.060E+0
 91.0000	-5.990E+0	-7.635E+0
 92.0000	-6.060E+0	-8.180E+0
 93.0000	-6.120E+0	-8.687E+0
 94.0000	-6.190E+0	-9.162E+0
 95.0000	-6.260E+0	-9.648E+0
 96.0000	-6.320E+0	-10.040E+0
 97.0000	-6.390E+0	-10.430E+0
 98.0000	-6.460E+0	-10.790E+0
 99.0000	-6.520E+0	-11.120E+0
100.0000	-6.590E+0	-11.430E+0
101.0000	-6.660E+0	-11.720E+0
102.0000	-6.720E+0	-11.970E+0
103.0000	-6.790E+0	-12.210E+0
104.0000	-6.860E+0	-12.420E+0
105.0000	-6.920E+0	-12.610E+0
106.0000	-6.990E+0	-12.780E+0
107.0000	-7.060E+0	-12.930E+0
108.0000	-7.120E+0	-13.070E+0
109.0000	-7.190E+0	-13.190E+0
110.0000	-7.260E+0	-13.290E+0
111.0000	-7.320E+0	-13.370E+0
112.0000	-7.390E+0	-13.440E+0
113.0000	-7.460E+0	-13.490E+0
114.0000	-7.520E+0	-13.540E+0
115.0000	-7.590E+0	-13.560E+0
116.0000	-7.660E+0	-13.580E+0
117.0000	-7.720E+0	-13.580E+0
118.0000	-7.790E+0	-13.560E+0
119.0000	-7.860E+0	-13.520E+0
120.0000	-7.920E+0	-13.470E+0
121.0000	-7.990E+0	-13.350E+0
122.0000	-8.060E+0	-13.210E+0
123.0000	-8.120E+0	-13.060E+0
124.0000	-8.190E+0	-12.870E+0
125.0000	-8.260E+0	-12.570E+0
126.0000	-8.320E+0	-12.320E+0
127.0000	-8.390E+0	-12.010E+0
